OID_,Link_ID,Link_Nm,Shp_Lng,Z_Min,Z_Max,Z_Mean,SLength,Shape_Length
37,RAIL114,Pollokshaws West - Kennishead,1917.931929780000019,0.000000000000000,0.000000000000000,0.000000000000000,0.026176020985351,0.026176020985351
38,RAIL115,Kennishead - Priesthill & Darnley,1128.987695139999914,0.000000000000000,0.000000000000000,0.000000000000000,0.017775735317672,0.017775735317672
39,RAIL116,Priesthill & Darnley - Nitshill,1071.330273649999981,0.000000000000000,0.000000000000000,0.000000000000000,0.017072651529564,0.017072651529564
40,RAIL117,Nitshill - Barrhead,2690.212708240000211,0.000000000000000,0.000000000000000,0.000000000000000,0.039356299665031,0.039356299665031
41,RAIL118,Barrhead - Dunlop,14610.527268199999526,0.000000000000000,0.000000000000000,0.000000000000000,0.181302247551614,0.181302247551614
42,RAIL119,Dunlop - Stewarton,3625.163702700000158,0.000000000000000,0.000000000000000,0.000000000000000,0.037258586156402,0.037258586156402
43,RAIL12,Larbert - Camelon,2549.823251119999895,0.000000000000000,0.000000000000000,0.000000000000000,0.030115047048748,0.030115047048748
44,RAIL120,Stewarton - Kilmaurs,5149.756234579999727,0.000000000000000,0.000000000000000,0.000000000000000,0.048760051665641,0.048760051665641
45,RAIL121,Kilmaurs - Kilmarnock,3674.185898329999873,0.000000000000000,0.000000000000000,0.000000000000000,0.044071287687731,0.044071287687731
46,RAIL122,Kilmarnock - Auchinleck,22287.973030199998902,0.000000000000000,0.000000000000000,0.000000000000000,0.272145009060455,0.272145009060454
47,RAIL123,Auchinleck - New Cumnock,11862.961671400000341,0.000000000000000,0.000000000000000,0.000000000000000,0.151694884608545,0.151694884608545
48,RAIL124,New Cumnock - Kirkconnel,12031.739703999999620,0.000000000000000,327.535707967588678,163.721632064363433,655.256355810863738,0.185890335618958
49,RAIL126,Sanquhar - Dumfries,42082.759710999998788,0.000000000000000,0.000000000000000,0.000000000000000,0.487294836889145,0.487294836889147
50,RAIL127,Dumfries - Annan,24907.384816599998885,0.000000000000000,0.000000000000000,0.000000000000000,0.357742219561069,0.358679099346602
51,RAIL128,Annan - Gretna Green,12949.430351299999529,0.000000000000000,0.000000000000000,0.000000000000000,0.199219416666267,0.199219416666268
52,RAIL13,Camelon - Falkirk Grahamston,2104.666254390000176,0.000000000000000,0.000000000000000,0.000000000000000,0.032873580743067,0.032873580743067
53,RAIL134,Dumbarton Central - Dalreoch,697.668095008000023,0.000000000000000,0.000000000000000,0.000000000000000,0.009727354185445,0.010978249957295
54,RAIL136,Helensburgh Upper - Garelochhead,11054.983114500000738,0.000000000000000,0.000000000000000,0.000000000000000,0.135525885846806,0.135525885846805
55,RAIL137,Garelochhead - Arrochar & Tarbet,17216.281695099998615,0.000000000000000,0.000000000000000,0.000000000000000,0.200389901325247,0.200389901325248
56,RAIL138,Arrochar & Tarbet - Ardlui,12863.183414600000106,0.000000000000000,0.000000000000000,0.000000000000000,0.141423759482913,0.141423759482913
57,RAIL139,Ardlui - Crianlarich,14045.457850599999801,0.000000000000000,161.454048011517330,48.509977734527439,996.465905480641936,0.170313492974853
58,RAIL14,Falkirk Grahamston - Polmont,5156.593045880000318,0.000000000000000,0.000000000000000,0.000000000000000,0.075430931979351,0.075430931979351
59,RAIL140,Crianlarich - Tyndrum Lower,8426.953689230000236,0.000000000000000,186.028319964359980,89.745110051316786,725.488601397283560,0.112721858487654
60,RAIL141,Tyndrum Lower - Dalmally,19484.812745300001552,0.000000000000000,234.170362074626610,75.176342792902659,5335.285903955001231,0.286035347823824
61,RAIL142,Dalmally - Loch Awe,4256.329606790000071,0.000000000000000,81.068619803940763,32.144210443356300,235.007327842448035,0.061873493566914
62,RAIL143,Loch Awe - Falls of Cruachan,5159.986153449999620,0.000000000000000,25.055049355257829,12.836257522081896,119.599056500277811,0.075156236904375
